Date,City,Actual_SPI_3,Predicted_SPI_3,Residual,Absolute_Error,Actual_Drought,Predicted_Drought,Actual_Status,Predicted_Status,Actual_SPI_Category,Predicted_SPI_Category,Predicted_Drought_LSTM,Actual_Condition,LSTM_Condition
2018-12-01,Riyadh,1.1439003,0.7532994,0.39060086,0.39060086,0,0,No Drought,No Drought,Moderately Wet,Near Normal,0,No drought,No drought
2019-01-01,Riyadh,0.6186573,0.97619873,-0.35754144,0.35754144,0,0,No Drought,No Drought,Near Normal,Near Normal,0,No drought,No drought
2019-02-01,Riyadh,0.27986172,0.20656112,0.0733006,0.0733006,0,0,No Drought,No Drought,Near Normal,Near Normal,0,No drought,No drought
2019-03-01,Riyadh,-0.6825305,-0.34311035,-0.33942017,0.33942017,0,0,No Drought,No Drought,Near Normal,Near Normal,0,No drought,No drought
2019-04-01,Riyadh,-0.37494344,-0.7796746,0.40473115,0.40473115,0,0,No Drought,No Drought,Near Normal,Near Normal,0,No drought,No drought
2019-05-01,Riyadh,-0.32009506,-0.39050612,0.07041106,0.07041106,0,0,No Drought,No Drought,Near Normal,Near Normal,0,No drought,No drought
2019-06-01,Riyadh,0.27625963,-0.15837912,0.43463874,0.43463874,0,0,No Drought,No Drought,Near Normal,Near Normal,0,No drought,No drought
2019-07-01,Riyadh,0.61737597,-0.22190489,0.83928084,0.83928084,0,0,No Drought,No Drought,Near Normal,Near Normal,0,No drought,No drought
2019-08-01,Riyadh,-0.37919176,-0.1448138,-0.23437795,0.23437795,0,0,No Drought,No Drought,Near Normal,Near Normal,0,No drought,No drought
2019-09-01,Riyadh,-0.3487557,0.011447773,-0.36020347,0.36020347,0,0,No Drought,No Drought,Near Normal,Near Normal,0,No drought,No drought
2019-10-01,Riyadh,-0.5048896,-0.08853715,-0.41635245,0.41635245,0,0,No Drought,No Drought,Near Normal,Near Normal,0,No drought,No drought
2019-11-01,Riyadh,0.70366955,-0.3076307,1.0113002,1.0113002,0,0,No Drought,No Drought,Near Normal,Near Normal,0,No drought,No drought
2019-12-01,Riyadh,0.33577898,0.19049904,0.14527994,0.14527994,0,0,No Drought,No Drought,Near Normal,Near Normal,0,No drought,No drought
2020-01-01,Riyadh,0.043027297,-0.11944292,0.16247022,0.16247022,0,0,No Drought,No Drought,Near Normal,Near Normal,0,No drought,No drought
2020-02-01,Riyadh,-0.67994875,-0.3559923,-0.32395646,0.32395646,0,0,No Drought,No Drought,Near Normal,Near Normal,0,No drought,No drought
2020-03-01,Riyadh,-0.84058964,-0.7850841,-0.055505514,0.055505514,0,0,No Drought,No Drought,Near Normal,Near Normal,0,No drought,No drought
